Designator,Mid X,Mid Y,Rotation,Layer
C1,168.529,-108.458,180.0,bottom
C10,152.4926,-99.6,0.0,top
C11,139.818,-79.5848,0.0,top
C13,152.4926,-85.4776,180.0,top
C14,136.1055,-80.264,0.0,bottom
C15,136.1055,-77.597,0.0,bottom
C17,134.6872,-100.076,270.0,top
C18,137.8368,-100.076,90.0,top
C19,144.263,-96.2152,180.0,top
C2,149.479,-105.664,180.0,bottom
C20,166.269,-89.916,90.0,top
C22,175.921,-99.568,0.0,top
C23,163.8175,-79.629,0.0,top
C25,175.921,-85.471,180.0,top
C26,160.147,-80.199,0.0,bottom
C27,160.147,-77.405,0.0,bottom
C29,158.014,-100.33,270.0,top
C30,161.062,-100.3685,90.0,top
C31,167.793,-96.139,180.0,top
C32,190.272,-89.154,90.0,top
C34,199.924,-99.568,0.0,top
C35,187.8205,-79.629,0.0,top
C37,199.924,-85.471,180.0,top
C4,119.126,-91.313,0.0,bottom
C41,182.525,-100.33,270.0,top
C42,185.573,-100.33,90.0,top
C43,191.796,-96.139,180.0,top
C5,119.126,-88.646,0.0,bottom
C8,142.866,-89.789,90.0,top
D10,161.217,-96.266,0.0,top
D11,186.335,-89.122,270.0,top
D12,182.652,-81.629,270.0,top
D13,182.652,-89.122,270.0,top
D14,185.573,-96.139,0.0,top
D2,183.769,-106.553,180.0,top
D3,139.0052,-88.9574,270.0,top
D4,135.246,-81.6422,270.0,top
D5,135.2714,-88.9828,270.0,top
D6,138.04,-96.2152,0.0,top
D7,162.332,-89.027,270.0,top
D8,158.649,-81.661,270.0,top
D9,158.649,-89.027,270.0,top
J1,154.178,-109.855,270.0,top
J3,126.111,-84.107,270.0,top
J4,126.06,-100.918,270.0,top
M1,167.386,-111.379,0.0,top
Q1,136.308,-74.294,0.0,top
Q2,148.308,-74.294,0.0,top
Q3,160.308,-74.294,0.0,top
Q4,172.308,-74.294,0.0,top
Q5,184.308,-74.294,0.0,top
Q6,196.308,-74.294,0.0,top
R1,155.194,-81.788,270.0,bottom
R10,152.4926,-89.313,180.0,top
R11,150.876,-79.6102,0.0,top
R12,150.876,-77.1464,0.0,top
R15,145.6092,-104.394,0.0,top
R16,140.3768,-100.076,90.0,top
R17,175.921,-94.488,180.0,top
R18,175.921,-97.028,0.0,top
R19,163.882,-82.042,0.0,top
R2,152.527,-81.788,90.0,bottom
R20,163.83,-77.216,0.0,top
R21,175.921,-91.948,180.0,top
R22,175.921,-89.281,180.0,top
R23,174.905,-79.629,0.0,top
R24,174.879,-77.216,0.0,top
R27,168.682,-104.394,0.0,top
R28,163.602,-100.33,90.0,top
R29,199.924,-94.488,180.0,top
R30,199.924,-97.028,0.0,top
R31,187.833,-82.042,0.0,top
R32,187.833,-77.216,0.0,top
R33,199.924,-91.948,180.0,top
R34,199.924,-89.281,180.0,top
R35,198.908,-79.629,0.0,top
R36,198.882,-77.216,0.0,top
R39,193.32,-104.394,0.0,top
R4,177.927,-106.553,180.0,top
R40,188.113,-100.33,90.0,top
R5,152.4672,-94.393,180.0,top
R6,152.4926,-97.0346,0.0,top
R7,139.818,-82.1248,0.0,top
R8,139.8434,-77.0702,0.0,top
R9,152.4418,-91.9038,180.0,top
U11,193.32,-100.203,0.0,top
U2,120.382,-97.257,270.0,bottom
U3,147.184,-86.8746,90.0,top
U4,136.7405,-85.598,90.0,bottom
U5,145.468,-100.33,0.0,top
U6,170.587,-86.868,90.0,top
U7,160.782,-85.66,90.0,bottom
U8,168.682,-100.203,0.0,top
U9,194.59,-86.868,90.0,top
